top,group,label,title,href,thumb,code,note
main,,annotate,Annotate,annotate.html,thumbs/annotate.png,https://github.com/mehrlander/web-tools/blob/main/pages/annotate.html,
main,,audit-render,Audit render,audit-render.html,thumbs/audit-render.png,https://github.com/mehrlander/web-tools/blob/main/pages/audit-render.html,
main,,bench,Bench,bench.html,thumbs/bench.png,https://github.com/mehrlander/web-tools/blob/main/pages/bench.html,
main,,branch,Branch,branch.html,thumbs/branch.png,https://github.com/mehrlander/web-tools/blob/main/pages/branch.html,
main,,chat-results,Chat Search Results,chat-results.html,thumbs/chat-results.png,https://github.com/mehrlander/web-tools/blob/main/pages/chat-results.html,
main,,citations,Citations,citations.html,thumbs/citations.png,https://github.com/mehrlander/web-tools/blob/main/pages/citations.html,
main,,compression-helper,Compression Helper (v5),compression-helper.html,thumbs/compression-helper.png,https://github.com/mehrlander/web-tools/blob/main/pages/compression-helper.html,Compression bookmarklet packer.
main,,console-playground,Console Suite Guide,console-playground.html,thumbs/console-playground.png,https://github.com/mehrlander/web-tools/blob/main/pages/console-playground.html,
main,,data-view,Data View,data-view.html,thumbs/data-view.png,https://github.com/mehrlander/web-tools/blob/main/pages/data-view.html,
main,,delivery,Conventions Delivery,delivery.html,thumbs/delivery.png,https://github.com/mehrlander/web-tools/blob/main/pages/delivery.html,
main,,dictate,Dictate,dictate.html,thumbs/dictate.png,https://github.com/mehrlander/web-tools/blob/main/pages/dictate.html,"The blank page you talk at: a full-viewport voice buffer with the mark pad under your thumb, and Copy, Share, Jot or Drop at the end of it."
main,,diff-tool,Diff,diff-tool.html,thumbs/diff-tool.png,https://github.com/mehrlander/web-tools/blob/main/pages/diff-tool.html,Side-by-side text diff tool.
main,,doc-growth,Doc Growth,doc-growth.html,thumbs/doc-growth.png,https://github.com/mehrlander/web-tools/blob/main/pages/doc-growth.html,
main,,entities,Entities,entities.html,thumbs/entities.png,https://github.com/mehrlander/web-tools/blob/main/pages/entities.html,
main,,gist-editor,Gist Editor,gist-editor.html,thumbs/gist-editor.png,https://github.com/mehrlander/web-tools/blob/main/pages/gist-editor.html,Browse and edit GitHub gists in the browser.
main,,inquiry,Inquiry,inquiry.html,thumbs/inquiry.png,https://github.com/mehrlander/web-tools/blob/main/pages/inquiry.html,
main,,launcher,Popup Launcher · setup,launcher.html,thumbs/launcher.png,https://github.com/mehrlander/web-tools/blob/main/pages/launcher.html,"Popup launcher setup — paste a token, copy out the bookmarklet."
main,,links,Links,links.html,thumbs/links.png,https://github.com/mehrlander/web-tools/blob/main/pages/links.html,"home's bookmarks board: a pinned rail, areas of links, and an area's markdown dossier, all editable in place."
main,,pdf-inspect,PDF Inspect,pdf-inspect.html,thumbs/pdf-inspect.png,https://github.com/mehrlander/web-tools/blob/main/pages/pdf-inspect.html,
main,,peek,Peek — DOM under a selection,peek.html,thumbs/peek.png,https://github.com/mehrlander/web-tools/blob/main/pages/peek.html,
main,,pip-steps,Floating steps,pip-steps.html,thumbs/pip-steps.png,https://github.com/mehrlander/web-tools/blob/main/pages/pip-steps.html,"Steps that float over another app, through iOS Picture-in-Picture."
main,,repo-atlas,Repo Atlas,repo-atlas.html,thumbs/repo-atlas.png,https://github.com/mehrlander/web-tools/blob/main/pages/repo-atlas.html,"Zoomable treemap map of any GitHub repo — files as tiles, sized by bytes or count."
main,,review,Review,review.html,thumbs/review.png,https://github.com/mehrlander/web-tools/blob/main/pages/review.html,"A branch changeset or file, reviewed: CM6 diffs vs a base, links, patch dumps — the 🔍 target."
main,,session,Session,session.html,thumbs/session.png,https://github.com/mehrlander/web-tools/blob/main/pages/session.html,
main,,shortcut-log,Shortcut Log,shortcut-log.html,thumbs/shortcut-log.png,https://github.com/mehrlander/web-tools/blob/main/pages/shortcut-log.html,
